ADDRESS,PRICE,BEDROOMS
15 Rainier Close,355000,3
15 Rankin Road,1100000,3
15 Rannoch Circle,580000,4
15 Reddington Way,475000,2
15 Reflection Close,785000,4
15 Regency Ramble,580000,4
15 Reginald Street,565000,3
15 Reinagle Street,512000,4
15 Rhodes Crescent,290000,3
15 Richardson Terrace,1100000,4
15 Ridge Road,577000,5
15 Rigoll Court,456500,4
15 Riverina Drive,990000,4
15 Rob Roy Street,1825000,6
15 Roberta Street,970000,5
15 Rockefeller Way,560000,4
15 Rocklands Loop,461000,4
15 Roebuck Avenue,590000,4
15 Rometta Way,517000,4
15 Ronsard Place,417000,3
15 Rookwood Street,1550000,5
15 Roslin Road,527500,3
15 Rossmoyne Drive,920000,7
15 Ruby Way,427000,4
15 Russell Road,480000,4
15 Sabre Close,630000,4
15 Sail Terrace,400000,4
15 Sain Road,749000,4
15 Salerno Place,350000,4
15 Salishan Street,410000,4
15 Salterforth Road,370000,3
15 Samphire Turn,735000,4
15 Sandpiper Street,890000,4
15 Sardinia Place,595000,3
15 Saunders Street,1860000,5
15 Scarp View,380000,3
15 Schooner Place,595000,4
15 Sciano Avenue,448000,3
15 Scott Street,452500,2
15 Seagrove Boulevard,350000,4
15 Seaton Court,675000,4
15 Seaview Drive,399000,4
15 Sefton Avenue,415000,3
15 Serenity Street,310000,4
15 Serpentine Gardens,375000,3
15 Seville Crest,780000,4
15 Shady Hills View,635000,4
15 Shearwater Terrace,297000,4
15 Shivery Fairway,662500,3
15 Shoalhaven Rise,492000,4
15 Shrike Lane,550000,3
15 Silas Parade,480000,4
15 Silich Court,480000,3
15 Silver Princess Way,415000,4
15 Simcoe Court,430000,3
15 sinai place,410000,3
15 Sistina Road,615000,5
15 Southampton Drive,455000,4
15 Spinnaker Heights,615000,4
15 Spoonbill Place,415000,4
15 Sproxton Way,475000,3
15 St Lucia Road,1250000,4
15 Stanbury Way,831000,4
15 Staniland Street,1200000,4
15 Staples Street,751000,2
15 Stenton Gardens,460000,4
15 Stevens Street,1260000,4
15 Strathyre Drive,439000,4
15 Stretton Way,275000,3
15 Stuart Court,704000,4
15 Stuart Street,460000,3
15 Stubbs Terrace,960000,3
15 Success Crescent,1000000,4
15 Sutton Way,590000,4
15 Swan Road,360000,3
15 Talara Circuit,900000,4
15 Talgarth Way,1775000,5
15 Talia Drive,375000,3
15 Talisker Bend,66000,3
15 Tandarra Place,1450000,3
15 Tandou Court,550000,4
15 TAPALLA TURN,350000,3
15 Taplow Parade,475000,3
15 Tarcoola Retreat,640000,4
15 Tarup Place,258000,3
15 Tasman Road,586000,5
15 Tate Street,800000,2
15 Tavistock Crescent,455000,3
15 Tempany Way,385000,4
15 The Circus,1255000,4
15 Thelma Street,1570000,4
15 Thorsager Street,480000,3
15 Tintern Road,520000,4
15 Tissington Drive,500000,4
15 Tiverton Street,455000,5
15 Tolbury Retreat,540000,4
15 Toodyay Road,700000,4
15 Torrey Crescent,565000,4
15 Tranby Avenue,565000,4
15 Tranquil Gardens,749750,4
15 Trevor Court,450000,4
15 Trinnick Place,670000,3
15 Troon Place,315000,4
15 Two Rocks Road,573000,4
15 Umina Way,1175000,4
15 Uppingham Way,355000,4
15 Urchin Mews,302500,3
15 Valonia Road,362000,3
15 Veneto Way,920000,4
15 Verdello Way,419000,3
15 Vickridge Close,475000,3
15 Vila Do Porto Crescent,392500,4
15 Vilberie Close,420000,4
15 Villiers Way,556000,4
15 Vista Grove,604000,4
15 Vista Street,1045000,5
15 Vitis Chase,265000,3
15 Vivian Way,695000,4
15 Voltaire Crescent,489000,4
15 Waddington Crescent,468000,4
15 Walgreen Crescent,328000,3
15 Walker Street,1080000,4
15 Wareana Street,1300000,4
15 Warrego Street,539000,4
15 Waterhall Road,722000,4
15 Waterway Crescent,952500,4
15 Watsonia Road,700000,3
15 Watt Street,2300000,4
15 West Parade,600000,3
15 Western Avenue,188500,3
15 Westra Way,850000,4
15 Weybridge Drive,335000,3
15 Wheatley Drive,651000,4
15 Whitcombe Way,415000,4
15 Whitehaven Avenue,950000,6
15 Whitehouse Drive,395000,4
15 Whyalla Chase,530000,4
15 Willow Bank Entrance,1050000,5
15 Willow Road,680000,4
15 Windarra Heights,400000,4
15 Wingate Avenue,125000,2
15 Wingrove Road,470000,4
15 Winston Way,710000,4
15 Woodlake Retreat,650000,3
15 Woollcott Avenue,265000,4
15 Wooloomooloo Road,492500,3
15 Wooltana Street,1410000,4
15 Wright Avenue,2157000,5
15 Wright Street,617500,2
15 Yallambee Place,561000,3
15 Yilgarn Street,445000,4
15/168 Hector Street,200000,2
15/174 Fairway Circle,380000,2
15/18 Deanmore Bend,370000,3
15/19 Bulrush Drive,440000,3
15/27 Swan Street,327000,2
15/28 Marangaroo Drive,228000,3
15/3 Brigid Road,443500,1
15/303 Harborne Street,220000,2
15/337 Lord Street,505000,1
15/40 Pollard Street,300000,2
15/56 Grand Boulevard,305000,2
15/7 Templeman Place,349000,3
15/8 Lewington Gardens,255000,1
15/99 Stafford Road,311000,3
150 Bradford Street,1025000,3
150 Eighth Avenue,1095000,4
150 Federation Street,1350000,4
150 Gerard Street,550000,4
150 Gradient Way,460000,3
150 Harrington Waters Drive,530000,5
150 Hellfire Drive,450000,4
150 High Road,440000,3
150 Highclere Boulevard,380000,3
150 Kitchener Road,685000,3
150 Lakelands Drive,990000,4
150 Leworthy Loop,540000,2
150 Lillie Road,605000,4
150 Marangaroo Drive,330000,3
150 Mueller Place,1205000,4
150 Railway Parade,920000,3
150 San Sebastian Boulevard,308000,4
150 Sertorio Road,650000,5
150 Shiraz Boulevard,430000,3
150 Stoneham Road,1850000,3
1507 Karnup Road,405000,4
150A Gerard Street,550000,4
150A Jersey Street,1270000,3
150A St Brigids Terrace,870000,4
151 Anchorage Drive,810000,3
151 Barridale Drive,439000,3
151 Bateman Road,992000,4
151 Broome Street,1765000,4
151 Clifton Street,712000,5
151 Coolamon Boulevard,255000,3
151 Fisher Street,565000,3
151 Gloster Street,1625000,4
151 Harpenden Street,490000,4
151 Nicholson Road,420000,5
151 Padbury Avenue,620000,3
151 Peninsula Road,675000,3
151 Stubbs Terrace,810000,2
151 Sulphur Road,395000,4
151 Twelfth Road,515000,3
151 West Parade,495000,4
151 Wright Street,625000,3
1510 Anketell Road,715000,1
1510 Prosperity Road,525000,3
1513 Karnup Road,465000,5
1515 Stone Street,720000,5
151A Edgewater Drive,650000,4
151A Samson Street,765000,3
151a Station Street,453500,3
152 Delgado Parade,685000,4
152 Giles Avenue,520000,3
152 Harborne Street,867000,3
152 Harpenden Street,405000,3
152 Kenwick Road,352000,3
152 Lukin Drive,250000,3
152 Mason Road,810000,4
152 Nicholson Road,1642000,2
152 Pinjar Road,730000,4
152 Ponte Vecchio Boulevard,420000,5
152 River Way,1650000,5
152 Waterhall Road,490000,4
152 West Road,625000,4
1525 Needham Road,607000,5
153 Allen Road,2050000,4
153 Beauchamp Loop,715000,4
153 Bridgewater Drive,851000,4
153 Carmel Road,545000,4
153 Cordelia Avenue,480000,3
153 Glen Iris Drive,670000,4
153 Haddrill Road,1050000,2
153 Hampton Road,715000,3
153 Harborne Street,750000,3
153 LEWIS ROAD,450000,4
153 Matlock Street,700000,3
153 Milina Street,296000,4
153 Newburn Road,340000,3
153 Price Parkway,340000,3
153 Wright Road,735000,5
1530 Clayton Road,930000,4
1530 Walker Street,800000,4
1535 Railway Terrace,260000,5
153A Tenth Avenue,760000,3
153b Holland Street,560000,4
154 Brompton Heights,712000,3
154 Delgado Parade,902000,5
154 Douglas Road,920000,4
154 Edmund Street,1080000,5
154 Franklin Road,270000,4
154 Gildercliffe Street,1050000,4
154 Harpenden Street,357000,4
154 Moore Road,850000,6
154 Nicholson Road,450000,6
154 Parry Avenue,760000,4
154 Solomon Street,938000,3
154 Tenth Avenue,1442750,4
154A Kitchener Road,805000,4
155 Barridale Drive,500000,4
155 Bushmead Road,178000,2
155 Clifton Street,499000,2
155 Coogee Road,160000,4
155 Duke Street,580000,4
155 Glen Iris Drive,690000,4
155 Kanangra Court,855000,4
155 Lennard Street,655000,5
155 Millhouse Road,845000,3
155 Moore Road,1250000,4
155 Reservoir Road,158000,4
155 Stubbs Terrace,930000,2
155 Timbertop Way,900000,4
155 Union Road,390000,5
155 West Parade,537000,4
155 Willcox Street,455500,4
155 Wilson Road,799000,5
155 Wood Street,922000,4
1550 Park Road,705000,3
1555 McDowell Loop,1000000,4
155A Wilding Street,815000,3
156 Albany Highway,380000,3
156 Belgravia Street,492500,4
156 Caledonia Avenue,495000,4
156 Charlottes Vista,850000,4
156 Golf Links Drive,520000,4
156 GRAND PROMENADE,600000,4
156 Harpenden Street,399000,4
156 Lakeside Drive,560000,4
156 Lawrence Street,830000,4
156 Loton Road,1200000,2
156 Millhouse Road,377000,4
156 Oceanside Promenade,960000,4
156 Planet Street,472500,3
156 Suffolk Street,390000,3
156 Yangebup Road,570000,4
1560 Woodlands Road,700000,5
1568 Great Northern Highway,250000,6
157 Berwick Street,735000,3
157 Bradford Street,950000,3
157 Bushmead Road,470000,4
157 Currie Street,435000,4
157 Gibbs Street,870000,4
157 Glen Iris Drive,885000,5
157 Hardey Road,1420000,4
157 Hensman Road,1860000,4
157 Herbert Road,1200000,4
157 Lakelands Drive,1500000,5
157 Lakeside Drive,905000,4
157 MARS Street,500000,3
157 Stubbs Terrace,920000,2
157 Sunrise Boulevard,405000,4
157 Tenth Avenue,1475000,3
157 Third Avenue,210000,4
157 Tower Street,1095000,3
1570 Sexton Street,580000,2
1575 Llangi Way,555000,4
157B Bateman Road,1325000,3
158 Baltimore Parade,290000,3
158 Berwick Street,740000,4
158 Clontarf Road,650000,3
158 Douglas Avenue,900000,4
158 Eton Street,645000,2
158 Herbert Street,652000,3
158 Lakelands Drive,975000,4
158 Landsdale Road,415000,4
158 Maida Vale Road,315000,3
158 Suffolk Street,425000,3
1580 Ryecroft Road,629000,4
1585 Falls Road,310000,2
158A Walpole Street,650000,6
159 Angelo Street,825000,3
159 Caporn Street,120000,4
159 Clifton Street,620000,4
159 Dalkeith Road,2105000,5
159 Eton Street,542100,3
159 Howes Crescent,570000,3
159 Planet Street,460000,3
159 Rannoch Circle,685000,4
1597 Neaves Road,1500000,9
159A The Esplanade,2080000,4
159B Dampier Avenue,478000,3
159B Forrest Road,387000,3
15A Alison Road,900000,3
15A Bray Street,165000,3
15A Broadway Road,400000,3
15A Bruning Road,645000,3
15A Butson Street,525000,3
15a Caddy Avenue,1700000,4
15A Cambey Way,550000,3
15A Chapman Road,470000,3
15A Charles East Street,245000,3
15A Cloister Avenue,800063,4
15A Dandenong Road,1303000,4
15a Errinbee Street,590000,3
15A Friar John Way,385000,3
15A George Street,945000,3
15A Helen Street,450000,3
15A Longroyd Street,1280000,4
15A Lynton Street,850000,4
15A Mandora Way,500000,3
15A Marian Street,505000,3
15A Maritana Road,465000,3
15A Mcdonald Street,1215000,3
15A Mifflin Place,400000,3
15A Millet Street,680000,3
15A Mimosa Avenue,955000,3
15A Narwood Place,220000,3
15A Norman Street,766000,4
15A Oldham Crescent,530000,4
15A Ozone Road,1200000,4
15a Parsons Avenue,850000,4
15A Pelican Court,280000,3
15a Poynings Street,320000,3
15A Roberts Road,1605000,5
15A Stirling Road,365000,3
15A The Promenade,730000,3
15b Blacksmith Court,380000,3
15B Cassidy Place,555000,3
15B Charlotte Cove,375000,3
15B Craigie Crescent,685000,4
15B Darling Street,790000,3
15B Donatti Road,607000,3
15B Drummond Street,615000,3
15B Errinbee Street,650000,3
15B Gull Street,768000,3
15B Ilumba Road,360000,3
15B Lanskie Court,456000,3
15B Lobelia Street,1148000,4
15B Lombardy Street,1175000,3
15B Milford Way,357500,3
15B Queen Street,660000,4
15B The Ridgeway,205000,3
15D Gerard Street,385000,3
16 Abberton Street,420000,4
16 Acton Avenue,507500,4
16 Addington Way,470000,4
16 Admiralty Road,475000,3
16 Aerolite Way,523500,4
16 Alandale Road,500000,3
16 Albillo Parade,565000,4
16 Alcazar Avenue,315000,4
16 Allendale Entrance,580000,4
16 Alvah Street,530000,3
16 Alvaston Drive,950000,4
16 Alycon Place,755000,4
16 Ameer Crescent,417000,4
16 Amherst Avenue,500000,3
16 Andrews Way,400000,3
16 Angelica Way,525000,3
16 Anguilla Court,400000,4
16 Antigua Place,441000,4
16 Apple Blossom Drive,400000,3
16 Aranda Place,610000,3
16 Arania Place,660000,4
16 Arava Circle,550000,4
16 Ardara Bend,305000,3
16 Aristride Avenue,640000,4
16 Arlington Loop,866000,4
16 Ash Grove,1350000,5
16 Aslings Court,433000,3
16 Astrolabe Way,430000,4
16 Aviemore Close,801000,4
16 Avon Crescent,708000,5
16 Badrick Street,680000,4
16 Baler Court,760000,5
16 Balfour Road,322500,3
16 Bambee Court,775000,4
16 Banjine Road,355000,3
16 Bantry Bend,890000,4
16 Barang Circuit,460000,4
16 Barbados Link,535000,4
16 Barbarich Drive,830000,4
16 Barbarossa Drive,520000,4
16 Barclay Way,285000,2
16 Barcoo Avenue,1740000,3
16 Barcoo Close,460000,4
16 Bardoc Court,290000,3
16 Barnes Road,735000,4
16 Baronet Road,430000,3
16 Bayfield Crescent,500000,4
16 Beacon Way,390000,4
16 Bedford Street,860000,4
16 Behan Street,535000,4
16 Bellbird Court,480000,4
16 Belmore Bend,540000,4
16 Bernard Street,1150000,3
16 Bertholet Rise,310000,3
16 Bertie Street,468500,2
16 Beryl Avenue,1275000,4
16 Bethnal Green,580000,4
16 Beverley Street,950000,3
16 Bevis Court,680000,4
16 Bickley Crescent,1175000,4
16 Bildjar Close,485000,4
16 Billericay Circuit,310000,3
16 Binstead Court,355501,3
16 Birkett Street,1055000,2
16 Bittern Close,725000,4
16 Bittern Way,750000,5
16 Blackdoune Way,392000,3
16 Blaven Way,1060000,4
16 Blue Fin Drive,607500,4
16 Bolderwood Drive,435000,4
16 Bollinger Close,525000,4
16 Bonannella Entrance,435000,4
16 Bonchester Court,1185000,5
16 Bonita Way,445000,4
16 Bonnard Crescent,500000,4
16 Bonnydoon Court,180000,5
16 Boolardy Road,385000,4
16 Boona Court,275000,3
16 Boronia Close,370000,4
16 Bourke Street,875000,2
16 Bradbury Way,670000,4
16 Bradshaw Street,475000,3
16 Braxan Street,510000,3
16 Breen Place,840000,5
16 Broach Way,337500,3
16 Brumby Avenue,442500,4
16 Burley Griffin Mews,460000,3
16 Burnett Street,585000,4
16 Burnettia Lane,1100000,4
16 Caladenia Way,222500,2
16 Caldwell Place,920000,4
16 Calley Drive,720000,4
16 Callistemon Close,543000,4
16 Caloria Chase,580000,4
16 Camellia Loop,472500,3
16 Campbell Way,539000,3
16 Canara Road,427000,4
16 Canna Place,1100000,6
16 Canna Way,1825000,3
16 Cape Range Crescent,665000,4
16 Cardew Street,1100000,4
16 Caribbean Turn,445000,3
16 Caridean Street,425000,4
16 Carramar Road,950000,6
16 Carvie Street,315000,3
16 Casitas Street,198000,2
16 Cassia Street,570000,4
16 Catseye Crescent,435000,4
16 Catspaw Way,520000,4
16 Cavendish Boulevard,446000,3
16 Caversham Bend,410000,4
16 Celebration Boulevard,482000,4
16 Celestine Street,312000,3
16 Centennial Gardens,1080000,5
16 Cerberus Avenue,420000,3
16 Cerulean Road,149000,3
16 Charleson Street,695000,5
16 Charnwood Avenue,370000,3
16 Chatsworth Drive,435000,4
16 Cheshunt Gardens,880000,4
16 Chidzey Drive,215000,3
16 Chinook Drive,465000,4
16 Chittawarra Court,472000,3
16 Cimbor Way,255250,4
16 Clause Street,565000,3
16 Clearview Avenue,1220128,5
16 Clearwater Place,1530000,4
16 Clearwater Way,870000,4
16 Clive Street,1255000,3
16 Clivedon Court,470000,4
16 Clydesdale Street,600000,3
16 Cobblestones Circuit,665000,4
16 Coldlake Court,525000,4
16 Coleridge Place,485000,4
16 Colleran Way,1400000,4
16 Collins Road,649000,4
16 Coolabah Drive,321025,3
16 Coomer Elbow,380000,4
16 Cordata Avenue,208000,3
16 Cordelia Avenue,426000,3
16 Cordroy Way,583000,4
16 Corella Street,700000,4
16 Corfu Pass,335000,4
16 Corinda Way,312000,4
16 Cornelia Vista,480000,4
16 Coronation Street,840000,3
16 Cosmos Street,318000,3
16 Craig Street,1370000,4
16 Craighall Turn,615000,4
16 Creekview Close,1375000,4
16 Cromer Road,832000,4
16 Cubbine Close,430000,5
16 Cullya Lane,435000,4
16 Culroy Grove,500000,4
16 Cumberland Drive,1265000,6
16 Cumberland Way,480000,5
16 Cumbor Way,700000,4
16 Cunningham Loop,415000,4
16 Cunningham Street,1403000,4
16 Curedale Mews,920000,4
16 Dacelo Vista,499900,4
16 Daglish Street,1380000,2
16 Dalby Street,185400,4
16 Dale Place,965000,3
16 Dalkeith Road,1675000,4
16 Dalzell Turn,567000,4
16 Danja Rise,605000,4
16 Danube Avenue,373200,4
16 Darling Range Drive,705000,4
16 Darrowby Place,486500,4
16 De Grey Retreat,485000,4
16 Deauville Place,659000,4
16 Delaware Place,510000,3
16 Delgado Parade,745000,4
16 Delmore Glade,383000,3
16 Denia Rise,425000,5
16 Dentata Street,435000,4
16 Derwent Meander,849000,4
16 Destiny Lane,1922500,6
16 Devenish Way,650000,4
16 Devon Way,480000,3
16 Diana Crescent,315000,3
16 Dianella Link,525000,4
16 Donegal Court,424000,4
16 Drammen Elbow,315000,3
16 Driftwood Rise,790000,4
16 Driscoll Way,455000,3
16 Drummonds Approach,840000,3
16 Drummore Way,406500,4
16 Drysdale Street,455000,3
16 Dumsday Drive,450000,4
16 Duncraig Road,570000,3
16 Dunnage Court,410000,4
16 Duomo Way,420000,3
16 Earnshaw Loop,855000,4
16 East Street,565000,2
16 Eaton Lane,520000,3
16 Edgewater Road,1125000,3
16 Einstein Way,501000,4
16 Eldridge Grove,410000,4
16 Elizabeth Street,925000,3
16 Emerald Way,760000,4
16 Essex Street,432500,4
16 Eudoria Street,350000,3
16 Evans Street,435000,3
16 Ewart Street,219000,1
16 Farrier Terrace,400000,4
16 Favenc Way,590000,3
16 Feeney Street,1150000,4
16 Fernando Parkway,1770000,4
16 Ferrolana Court,356000,3
16 Fifth Avenue,761000,4
16 Firewood Way,512000,4
16 First Avenue,900000,4
16 Flintlock Court,430000,4
16 Forfar Glen,515000,4
16 Fourth Avenue,800000,2
16 Francina View,400000,3
16 Francisco Crescent,630000,4
16 FREELAND WAY,340000,3
16 Fullston Way,635000,3
16 Galway Place,488000,3
16 Gamblin Way,150000,4
16 Gantheaume Parade,375000,4
16 Gardenia Gardens,560000,4
16 Gatton Way,575000,4
16 Gayton Road,1650000,5
16 Gelderland Entrance,330000,3
16 Giallo Way,400000,4
16 Giro Close,390000,4
16 Glasson Court,470000,4
16 Glebe Close,685000,5
16 Glen Iris Drive,950000,4
16 Glendevon Turn,470500,4
16 Glenfine Way,507000,4
16 Global Avenue,570000,4
16 Gloucester Avenue,680000,3
16 Goldfinch Avenue,1608000,5
16 Goneril Way,510000,4
16 Goolema Place,472500,5
16 Gordon Avenue,690000,5
16 Graham Road,1030000,3
16 Grand Boulevard,825000,4
16 Grande Way,330000,4
16 Grange Crescent,850000,5
16 Grasswren Way,442500,4
16 Gratwick Terrace,750000,4
16 Green Vale Heights,1025000,4
16 Greenhill Grove,810000,4
16 Greenville Street,1250000,3
16 Grenadier Court,310000,4
16 Grenfell Way,638000,4
16 Grevillea Place,590000,4
16 Haflinger Drive,450000,4
16 Haig Street,475000,3
16 Halyard Road,610000,4
16 Hamlet Pass,540000,4
16 Hanlin Way,532500,5
16 Hannaby Street,730000,4
16 Hannan Place,325000,2
16 Harbour Elbow,780000,3
16 Hardwick Boulevard,560000,4
16 Harley Street,1012500,3
16 Harmony Parade,415000,4
16 Hayfield Road,545000,4
16 Haysom Street,1000000,5
16 Heather Road,435000,3
16 Hebbard Street,549000,4
16 Helmingham Road,493000,4
16 Hemingway Drive,402000,4
16 Henderson Drive,870000,4
16 Hibbertia Court,1500000,5
16 High View Road,527000,3
16 Highland Rise,655000,4
16 Hillbrook Approach,435000,3
16 Hinchinbrook Avenue,435000,4
16 Hodgson Street,960000,3
16 Hollett Road,610000,4
16 Holmesdale Road,629000,3
16 Hooley Road,485000,2
16 Hope Street,1850000,4
16 Hovea Court,209000,4
16 HOWDEN Street,490000,4
16 Howick Court,1210000,6
16 Hudleston Rise,383000,3
16 Huggins Road,325000,4
16 Humphry Street,598000,4
16 Hurd Road,390000,4
16 Husk Parade,770000,4
16 Hvar Street,587000,4
16 Imber Turn,480000,3
16 Indooroopilly Place,645000,4
16 Ingvarson Way,380000,3
16 Innamincka Road,360000,3
16 Inveraray Crescent,630000,3
16 Inverleith Turn,476000,4
16 Irma Way,339000,4
16 Jacana Circle,875000,4
16 Jane Brook Drive,400000,4
16 Jaubert Avenue,330000,4
16 Jedburgh Loop,330000,3
16 Jesmond Lane,532000,4
16 Jinda Road,310000,3
16 Jindalee Boulevard,635000,4
16 Jingana Road,345000,3
16 Jitti Court,478000,4
16 Jodrell Road,860000,4
16 John Farrant Drive,1775000,5
16 Jouissance Bend,585000,4
16 Kadina Road,569000,3
16 Kalli Street,290000,3
16 Karadong Street,460000,4
16 Karalla Elbow,507000,3
16 Karbuni Parade,845000,4
16 Karreen Way,430000,4
16 Kartner Road,520000,4
16 Kathleen Street,1335000,5
16 Kattamorda Pass,445000,4
16 Keanefield Drive,508000,5
16 Keel Cove,425000,4
16 Kemp Court,710000,5
16 Kenton Way,230000,2
16 Kiernan Place,972750,4
16 Kimberley Way,575000,5
16 Kinghorn Place,455000,4
16 Kingsley Drive,395000,3
16 Kinta Way,510000,4
16 Kippilaw Loop,422000,4
16 Kirby Court,250000,4
16 Kite Place,429000,4
16 Knox Cove,805000,5
16 Koolan Drive,820000,3
16 Kooralbyn Valley Crescent,475000,3
16 Koorda Street,1575000,4
16 Korovin Drive,477000,4
16 Lagoon Place,550000,5
16 Lakelands Drive,900000,4
16 Lakewood Avenue,918000,3
16 Lancaster Street,1070000,3
16 Landers Road,469000,4
16 Langston Close,285000,4
16 Larvotto Turn,990000,4
16 Lavender Chase,490000,4
16 Lawley Street,1150000,3
16 Lawson Way,525000,4
16 Leach Street,2375000,4
16 Leake Street,610000,3
16 Leeuwin Chase,415000,4
16 Leghorn Road,262000,3
16 Lemon Street,140000,4
16 Lenori Road,1475000,4
16 Lever Place,685000,4
16 Lobelia Drive,588000,3
16 Lockett Street,392000,3
16 Loder Way,900000,4
16 Lombe Gardens,580000,4
16 Longridge Rise,440000,4
16 Longstaff Loop,585000,4
16 Looranah Street,415000,3
16 Loquat Way,439000,4
16 Lorient Pass,490000,4
16 Lovegrove Close,1725000,4
16 Lucida Road,560000,4
16 Lugger Place,375000,4
16 Lurnea Place,701500,6
16 Lyssos Way,625000,4
16 Macalpine Retreat,488000,4
16 Macdonald Avenue,510000,4
16 Mahogany Street,245000,3
16 Mallina Circuit,440000,4
16 Manoora Place,545000,4
16 Marchesi Loop,690000,4
16 Margaret Terrace,572000,3
16 Marradong Street,1320000,4
16 Marriot Turn,486000,4
16 Martinique Mews,1160000,3
16 Mary Street,2010000,4
16 Massey Turn,675000,4
16 Masthead Close,650000,4
16 Matheson Road,1365000,4
16 Matisse Street,475000,4
16 Matthew Avenue,720000,4
16 Maxine Court,740000,4
16 McGlew Road,510000,2
16 Mcguckin Close,445000,4
16 Mckean Way,255000,5
16 Mclaren Avenue,340000,3
16 McMahon Street,295000,3
16 McNeil Grove,455000,4
16 Mead Grove,1100000,3
16 Meares Avenue,147000,3
16 Medici Way,830000,4
16 Meelup Way,323000,4
16 Melinga Court,390000,3
16 Melrose Crescent,1250000,4
16 Mensa Close,255000,3
16 Meridian Drive,608000,3
16 Merley Way,420000,4
16 Merlin Way,439000,3
16 Mettam Street,1900000,4
16 Mica Mews,513000,4
16 Mickle Way,360000,4
16 Middleton Close,638000,4
16 Miller Avenue,520000,4
16 Millimumul Way,786000,4
16 Milverton Loop,415000,4
16 Mintaro Parade,469000,4
16 Mirima Way,505000,4
16 Mitford Street,1225000,4
16 Mitra Loop,415000,4
16 Miyak Court,800000,5
16 Mobilia Place,210000,4
16 Moline Court,1700000,5
16 Montague Way,520000,4
16 Moody Glen,550000,4
16 Morisot Crescent,449000,4
16 Muirfield Avenue,520000,4
16 Munday Avenue,355000,4
16 Murphy Crescent,400000,4
16 Mustang Drive,425000,4
16 Muston Grove,1310000,4
16 Nangetty Street,420000,3
16 Narla Retreat,469000,4
16 Narloo Way,330000,3
16 Nasidi Place,397000,4
16 Nautilus Crescent,1350000,4
16 Nerang Mews,299000,3
16 Newbold Road,851000,4
16 Newstead Crescent,320000,4
16 Nolan Way,770000,4
16 North Street,1500000,2
16 Northcliffe Avenue,340000,4
16 Northcliffe Avenue,885000,5
16 Northmore Crescent,810000,4
16 Nottingham Parkway,175000,4
16 Nullarbor Avenue,290000,3
16 Oakmont Turn,640000,4
16 Oats Street,550000,3
16 Octans Court,242500,4
16 Oleander Avenue,455000,4
16 Oliveri Street,289000,3
16 Opal Way,610000,3
16 Orsulich Loop,499000,3
16 Ostend Parade,651000,4
16 Pacific Avenue,555554,4
16 Pageant Loop,450000,5
16 Palin Court,475000,3
16 Papuana Place,410000,4
16 Par Court,950000,4
16 Parkfarm Drive,590000,4
16 Parkfield Boulevard,429000,4
16 Parsons Avenue,1380000,4
16 PEARSON STREET,515000,4
16 Pebble Beach Edge,770000,4
16 Penistone Street,645000,5
16 Pennine Pass,263000,4
16 Pepler Avenue,1020000,4
16 Peppering Way,485000,3
16 Peppermint Drive,570000,4
16 Peran Street,475000,4
16 Percheron Entrance,318000,4
16 Persian Grove,170000,3
16 Petworth Drive,576500,4
16 Phoenix Terrace,624000,4
16 Pilbara Crescent,205000,4
16 Pittersen Road,681000,4
16 Plumeria Rise,535000,4
16 Polyantha Gardens,335000,3
16 Portofino Turn,278500,3
16 Poseidon Way,630000,4
16 Possum Glade,505000,4
16 Price Street,1300000,3
16 Quarndon Close,1155000,4
16 Radney Street,570000,3
16 Rail Drive,650000,4
16 Rebecca Court,440000,3
16 Reflection Mews,452000,4
16 Regatta Boulevard,475000,3
16 Rene Road,2039000,4
16 Richard Street,1085000,4
16 Richardson Street,472500,3
16 Richon Heights,645000,4
16 Ridge Road,627500,4
16 Ridge Road,670000,4
16 Ridley Court,260000,3
16 Rigoll Court,200000,4
16 River Bank Drive,222000,4
16 River View Terrace,1235000,4
16 Roach Place,235000,3
16 ROBINS RISE,330000,4
16 Robinson Avenue,560000,3
16 Robinson Terrace,699000,3
16 Rosetta Rise,990000,4
16 Rossell Place,440000,4
16 Rothsay Crescent,1130000,4
16 Rowe Place,550000,4
16 Ruby Street,410000,2
16 Rushby Way,600000,4
16 Saligna Way,575000,4
16 Salishan Street,412500,4
16 Salter Place,207500,4
16 Samson Street,2200000,3
16 Samsun Way,500000,3
16 San Pedro Turn,660000,4
16 Sandon Elbow,270000,4
16 Sandown Circle,615000,4
16 Santina Place,479000,4
16 Sapling Way,330000,4
16 Scamills Road,520000,4
16 Second Avenue,608000,4
16 Selway Road,517000,3
16 Serotina Lane,560000,4
16 Settler Place,475000,4
16 Settlers Circle,770000,3
16 Seville Way,550000,4
16 Shackleton Terrace,410000,4
16 Shaftesbury Way,405000,4
16 Shoveler Terrace,720000,4
16 Showman Glade,368000,4
16 Silas Street,1140500,3
16 Silica Road,490000,4
16 Silkwood Turn,1250000,4
16 Silverline Bend,350000,4
16 Sinclair Street,360000,3
16 Sissinghurst Crescent,529000,4
16 Songlark Place,460000,4
16 Sottogrande View,1150000,4
16 Sowden Drive,570000,3
16 Splendens Avenue,325000,3
16 Springdale Road,676000,4
16 Springdale Road,601000,6
16 Squires Avenue,452000,4
16 St Lucia Road,1125000,4
16 Stableford Loop,499000,4
16 Stanford Road,700000,4
16 Stewartby Crescent,429000,3
